F1 	 F2 	 num_edges_between 	 s1 	 s2 	 s 	 s12 	 s12-s 
MZ22518350	MZ22506644	0	0.6819	0.9444	0.7116	0.9069	-0.1954	
MZ22501598	MZ22512768	0	0.3584	0.6528	0.1895	0.4636	-0.2741	
MZ22508477	MZ22519316	64	0.7782	0.6993	0.9139	0.7477	0.1662	
MZ22500741	MZ22508746	16	0.3599	0.9651	0.3885	0.6447	-0.2562	
MZ22525219	MZ22503526	0	0.4664	0.5162	0.2787	0.4973	-0.2186	
MZ22504464	MZ22518329	0	0.1754	0.7391	0.2526	0.4112	-0.1585	
MZ22515076	MZ22524617	0	0.8238	-0.2500	0.4928	0.5170	-0.0242	
MZ22522136	MZ22524564	0	0.7692	0.6000	0.6786	0.6786	0.0000	
MZ22508487	MZ22516898	0	0.3784	0.9085	0.3173	0.6435	-0.3261	
MZ22514466	MZ22526332	0	0.4000	0.7276	0.5905	0.6106	-0.0201	
MZ22511044	MZ22512079	0	1.0000	0.8000	0.9143	0.9143	0.0000	
MZ22510331	MZ22525823	0	-0.0276	0.8522	0.3896	0.5138	-0.1242	
MZ22529219	MZ22503832	0	0.0000	1.0000	0.9130	0.9130	0.0000	
MZ22509949	MZ22509062	0	0.9803	0.9584	0.9410	0.9694	-0.0283	
MZ22519260	MZ22524252	0	0.4602	0.1978	0.1394	0.4055	-0.2661	
MZ22513105	MZ22504998	0	1.0000	0.4147	0.4294	0.7246	-0.2952	
MZ22507914	MZ22519550	0	0.6742	0.7388	0.5200	0.7075	-0.1875	
MZ22506551	MZ22512905	0	1.0000	1.0000	1.0000	1.0000	0.0000	
MZ22508073	MZ22507614	0	0.8125	1.0000	0.9118	0.9118	0.0000	
MZ22506063	MZ22504611	0	0.3620	0.9130	0.3678	0.6711	-0.3034	
MZ22525930	MZ22517205	2	0.3925	0.4887	0.5455	0.4712	0.0742	
MZ22504842	MZ22508224	0	1.0000	0.9333	0.9697	0.9697	0.0000	
MZ22506193	MZ22527933	0	0.5613	0.0000	0.4147	0.4811	-0.0664	
MZ22522532	MZ22520392	0	0.7686	1.0000	0.7596	0.8948	-0.1352	
MZ22528414	MZ22508251	0	0.0000	0.2518	0.0702	0.2060	-0.1357	
MZ22508650	MZ22504422	0	1.0000	0.5717	0.5962	0.7858	-0.1896	
MZ22529426	MZ22522134	0	0.7336	0.8106	0.4066	0.7886	-0.3820	
MZ22506800	MZ22506488	0	1.0000	0.0671	0.5264	0.6783	-0.1519	
MZ22515960	MZ22510339	0	0.8471	1.0000	0.8600	0.9235	-0.0635	
MZ22525445	MZ22512891	0	0.5837	-0.0731	-0.1318	0.2553	-0.3871	
MZ22524011	MZ22506212	0	1.0000	0.8489	0.8738	0.9244	-0.0506	
MZ22522152	MZ22503579	1	0.7967	0.9461	0.8487	0.8864	-0.0376	
MZ22527969	MZ22525958	0	-0.7806	0.8823	0.5301	0.5656	-0.0355	
MZ22521498	MZ22504575	0	0.4642	1.0000	0.5877	0.7783	-0.1906	
MZ22526659	MZ22501119	0	-0.2500	0.0941	-0.1316	0.0315	-0.1631	
MZ22505158	MZ22519098	0	0.9518	1.0000	0.9503	0.9773	-0.0270	
MZ22522006	MZ22505834	0	0.2425	1.0000	0.3459	0.6435	-0.2977	
MZ22525505	MZ22522351	0	0.8895	0.9542	0.8338	0.9309	-0.0971	
MZ22513024	MZ22513478	0	0.5376	1.0000	0.6298	0.7543	-0.1245	
MZ22524730	MZ22525596	0	1.0000	0.5365	0.7226	0.7561	-0.0334	
MZ22502048	MZ22501553	0	0.9546	0.9740	0.9491	0.9636	-0.0145	
MZ22507741	MZ22521905	0	1.0000	0.8537	0.8474	0.9360	-0.0886	
MZ22524779	MZ22509019	0	1.0000	0.8564	0.8776	0.9240	-0.0464	
MZ22509766	MZ22510968	0	1.0000	0.9557	0.9544	0.9778	-0.0235	
MZ22526490	MZ22509215	0	0.6084	0.4179	0.4433	0.5099	-0.0665	
MZ22513945	MZ22518374	0	1.0000	0.9567	0.9618	0.9772	-0.0153	
MZ22517111	MZ22509767	0	1.0000	1.0000	1.0000	1.0000	0.0000	
MZ22522071	MZ22505189	0	0.8750	0.7881	0.7992	0.8329	-0.0338	
MZ22528467	MZ22526212	0	0.0000	0.6198	0.4943	0.5423	-0.0480	
MZ22501867	MZ22519997	0	0.6696	0.2222	0.4051	0.5205	-0.1154	
MZ22522544	MZ22510933	0	0.8396	0.6606	0.5701	0.7414	-0.1713	
MZ22522490	MZ22505229	0	1.0000	1.0000	1.0000	1.0000	0.0000	
MZ22520803	MZ22516597	0	0.8461	1.0000	0.9355	0.9355	0.0000	
MZ22503598	MZ22530871	0	0.2419	0.0000	0.1329	0.2164	-0.0836	
MZ22509468	MZ22506346	0	1.0000	0.9250	0.9226	0.9636	-0.0410	
MZ22503463	MZ22503103	0	1.0000	0.8889	0.9459	0.9459	-0.0000	
MZ22509178	MZ22520149	0	0.9755	1.0000	0.9748	0.9881	-0.0133	
MZ22505713	MZ22530078	0	0.1933	1.0000	0.2023	0.2407	-0.0384	
MZ22506299	MZ22504313	0	0.7500	0.1336	0.0802	0.2633	-0.1831	
MZ22519220	MZ22524362	0	0.9679	0.9413	0.9061	0.9559	-0.0498	
MZ22506543	MZ22519600	43	0.8139	0.0147	0.4984	0.6067	-0.1083	
MZ22523488	MZ22505645	0	1.0000	0.8330	0.9023	0.9165	-0.0142	
MZ22518113	MZ22521178	0	0.9286	1.0000	0.9667	0.9667	0.0000	
MZ22502371	MZ22529249	22	0.5783	-1.0000	1.0000	0.4348	0.5652	
MZ22512017	MZ22502702	0	0.7565	0.8235	0.6894	0.7890	-0.0997	
MZ22524793	MZ22526054	0	0.2457	0.8891	0.3258	0.6060	-0.2802	
MZ22501733	MZ22529960	0	1.0000	0.0000	0.9048	0.9048	0.0000	
MZ22500944	MZ22526509	7	0.7765	0.8560	0.7919	0.8124	-0.0205	
MZ22519766	MZ22529492	0	1.0000	1.0000	1.0000	1.0000	0.0000	
MZ22500396	MZ22527392	0	0.8764	-1.0000	0.5897	0.6083	-0.0187	
MZ22502377	MZ22511299	0	1.0000	1.0000	1.0000	1.0000	0.0000	
MZ22512276	MZ22516768	0	0.8333	0.8750	0.8529	0.8529	0.0000	
MZ22516149	MZ22526336	0	0.9167	0.3253	0.3716	0.5982	-0.2266	
MZ22526386	MZ22511091	108	0.0554	0.1639	0.0664	0.1368	-0.0703	
MZ22524530	MZ22517474	0	0.0000	0.8574	0.6382	0.6431	-0.0048	
MZ22524500	MZ22505796	0	1.0000	0.4487	0.4425	0.7007	-0.2582	
MZ22510840	MZ22517079	0	0.9412	0.9286	0.9355	0.9355	-0.0000	
MZ22508020	MZ22504223	0	0.9871	1.0000	0.9867	0.9933	-0.0067	
MZ22511353	MZ22521048	0	0.1765	0.6000	0.2559	0.3690	-0.1131	
MZ22530974	MZ22510042	0	0.0000	0.0808	-0.0233	0.0727	-0.0960	
MZ22500025	MZ22527619	0	0.8861	0.8000	0.8127	0.8554	-0.0427	
MZ22523790	MZ22505943	54	-0.1452	0.5373	0.9545	0.4132	0.5414	
MZ22515495	MZ22503760	0	0.8401	1.0000	0.9044	0.9223	-0.0179	
MZ22527720	MZ22528195	0	0.3333	-1.0000	-0.2000	-0.2000	0.0000	
MZ22509827	MZ22500138	0	0.9161	0.1020	0.1724	0.4206	-0.2482	
MZ22518727	MZ22519573	0	0.8095	0.8235	0.7085	0.8169	-0.1085	
MZ22503720	MZ22500845	0	1.0000	0.2200	0.3281	0.5994	-0.2713	
MZ22529270	MZ22510346	0	-0.5000	0.9000	0.7727	0.7727	0.0000	
MZ22500374	MZ22520693	0	0.4467	0.9111	0.3614	0.6516	-0.2902	
MZ22508170	MZ22504637	0	0.6210	0.9956	0.6571	0.8033	-0.1462	
MZ22515012	MZ22523610	0	0.4904	0.0000	0.4229	0.4429	-0.0201	
MZ22504922	MZ22524358	0	0.2244	1.0000	0.3549	0.5404	-0.1855	
MZ22510529	MZ22511057	0	1.0000	0.9474	0.9722	0.9722	-0.0000	
MZ22527382	MZ22503134	0	0.8821	1.0000	0.8774	0.9480	-0.0706	
MZ22507940	MZ22504014	0	0.8842	0.2309	0.1934	0.5371	-0.3438	
MZ22501747	MZ22500277	0	0.9907	0.4134	0.4228	0.7021	-0.2792	
MZ22507518	MZ22527844	0	0.8078	0.1706	0.6689	0.7072	-0.0383	
MZ22529621	MZ22502808	0	0.0000	1.0000	0.9048	0.9048	0.0000	
MZ22501074	MZ22526934	0	0.7540	0.0019	0.4925	0.6515	-0.1590	
MZ22501760	MZ22508040	0	0.9719	-0.3391	0.7487	0.7932	-0.0445	
MZ22512915	MZ22515822	0	0.4814	0.3508	-0.0457	0.4264	-0.4721	
MZ22508978	MZ22511642	0	1.0000	1.0000	1.0000	1.0000	0.0000	
MZ22503199	MZ22503905	0	0.4928	1.0000	0.5944	0.7464	-0.1520	
MZ22519069	MZ22516737	0	0.7692	0.8750	0.8276	0.8276	0.0000	
MZ22507519	MZ22506719	0	1.0000	1.0000	1.0000	1.0000	0.0000	
MZ22501915	MZ22516965	0	0.3014	1.0000	0.5875	0.6507	-0.0632	
MZ22506555	MZ22504026	0	1.0000	0.7510	0.8674	0.8790	-0.0116	
MZ22505268	MZ22515311	0	1.0000	0.5000	0.9000	0.9000	0.0000	
MZ22523307	MZ22502799	0	1.0000	0.8842	0.8810	0.9387	-0.0577	
MZ22508878	MZ22514221	0	1.0000	0.8118	0.8395	0.9115	-0.0719	
MZ22522583	MZ22508585	0	1.0000	0.7533	0.8024	0.8150	-0.0125	
MZ22516628	MZ22501259	0	0.9940	0.6842	0.8317	0.8349	-0.0033	
MZ22500194	MZ22519505	0	1.0000	0.9508	0.9604	0.9761	-0.0157	
MZ22528077	MZ22512030	0	1.0000	0.9137	0.9133	0.9219	-0.0087	
MZ22517603	MZ22512227	0	0.3759	1.0000	0.5716	0.7633	-0.1916	
MZ22510548	MZ22510231	0	1.0000	1.0000	1.0000	1.0000	0.0000	
MZ22503541	MZ22512945	0	0.8678	0.7333	0.7679	0.8006	-0.0327	
MZ22500858	MZ22525410	0	0.1167	0.6667	0.0655	0.1953	-0.1298	
MZ22504951	MZ22527415	52	0.1009	0.1334	0.0674	0.1055	-0.0382	
MZ22504702	MZ22529000	0	1.0000	0.1256	0.4096	0.7085	-0.2990	
MZ22509821	MZ22509916	0	0.9847	0.6497	0.6174	0.8395	-0.2221	
MZ22510930	MZ22509017	0	0.2369	0.5300	0.1354	0.4672	-0.3318	
MZ22512553	MZ22507090	0	0.4000	1.0000	0.6842	0.6842	0.0000	
MZ22503303	MZ22527473	0	0.9023	0.4503	0.6110	0.7938	-0.1828	
MZ22507681	MZ22508248	0	1.0000	1.0000	1.0000	1.0000	0.0000	
MZ22513986	MZ22513284	2	0.7265	0.1197	-0.0041	0.3624	-0.3665	
MZ22509397	MZ22501537	0	1.0000	1.0000	1.0000	1.0000	0.0000	
MZ22529650	MZ22503472	0	0.6667	0.9048	0.8750	0.8750	0.0000	
MZ22518510	MZ22528522	6	0.1203	-0.1137	-0.0448	0.0267	-0.0716	
MZ22530152	MZ22524643	0	1.0000	0.8104	0.8085	0.8357	-0.0272	
MZ22518128	MZ22505883	0	1.0000	0.9867	0.9863	0.9932	-0.0068	
MZ22500326	MZ22510924	0	1.0000	1.0000	1.0000	1.0000	0.0000	
MZ22520687	MZ22503699	0	0.9412	0.9607	0.9300	0.9509	-0.0209	
MZ22507413	MZ22526167	0	0.6529	1.0000	0.6497	0.7050	-0.0553	
MZ22505620	MZ22501396	0	0.7339	0.3577	0.2132	0.5563	-0.3430	
MZ22525388	MZ22528145	0	0.1667	0.0000	0.1111	0.1111	-0.0000	
MZ22517742	MZ22500853	0	1.0000	1.0000	1.0000	1.0000	0.0000	
MZ22508137	MZ22513182	0	0.0322	0.6935	0.2607	0.5210	-0.2603	
MZ22530276	MZ22500277	36	-0.2674	0.4134	0.8125	0.3162	0.4963	
MZ22515978	MZ22517325	0	0.5948	1.0000	0.7965	0.8301	-0.0335	
MZ22523156	MZ22530760	0	1.0000	0.0000	0.8889	0.8889	0.0000	
MZ22504710	MZ22525532	0	0.7226	0.9788	0.6944	0.7944	-0.1000	
MZ22500049	MZ22510695	0	0.0398	1.0000	0.2665	0.5329	-0.2664	
MZ22514296	MZ22509656	0	0.8571	1.0000	0.9375	0.9375	0.0000	
MZ22503461	MZ22510009	0	0.9208	1.0000	0.9192	0.9594	-0.0401	
MZ22501365	MZ22511750	0	0.7839	0.8602	0.7275	0.8108	-0.0834	
MZ22513127	MZ22523333	0	0.3406	0.3527	0.0740	0.3462	-0.2722	
MZ22520719	MZ22516943	0	0.9034	0.9291	0.8936	0.9162	-0.0227	
MZ22508726	MZ22525636	0	0.3050	0.8484	0.1542	0.5258	-0.3716	
MZ22510971	MZ22517740	0	1.0000	-0.3092	0.6973	0.7905	-0.0932	
MZ22526898	MZ22515386	5	0.9642	0.9691	1.0000	0.9683	0.0317	
MZ22501999	MZ22507845	0	0.9970	0.8104	0.8900	0.9089	-0.0189	
MZ22513855	MZ22507708	0	0.8889	0.7769	0.8161	0.8362	-0.0201	
MZ22500870	MZ22520977	0	0.2199	1.0000	0.3217	0.5994	-0.2777	
MZ22511343	MZ22505127	0	0.9091	0.8872	0.8667	0.8990	-0.0323	
MZ22515520	MZ22514920	0	0.5556	0.8882	0.6933	0.7456	-0.0523	
MZ22507447	MZ22500723	0	0.4696	0.1114	-0.1911	0.2216	-0.4126	
MZ22527224	MZ22511168	0	0.8750	0.2956	0.4079	0.5853	-0.1774	
MZ22503488	MZ22514815	0	0.9444	0.8117	0.7741	0.8841	-0.1100	
MZ22528851	MZ22501999	0	0.0000	0.9970	0.9018	0.9021	-0.0003	
MZ22524902	MZ22507329	0	1.0000	1.0000	1.0000	1.0000	0.0000	
MZ22527829	MZ22517145	0	1.0000	1.0000	1.0000	1.0000	0.0000	
MZ22506714	MZ22526508	0	0.9790	0.5582	0.7375	0.8232	-0.0856	
MZ22510966	MZ22506069	0	0.4706	0.9018	0.6812	0.6862	-0.0050	
MZ22511959	MZ22516079	0	1.0000	1.0000	1.0000	1.0000	0.0000	
MZ22518007	MZ22520362	0	0.9578	0.9933	0.9495	0.9765	-0.0270	
MZ22507271	MZ22514054	0	0.8527	1.0000	0.8480	0.9285	-0.0805	
MZ22505834	MZ22503742	0	1.0000	0.9750	0.9744	0.9872	-0.0128	
MZ22507518	MZ22502306	0	0.8078	0.9520	0.8322	0.8861	-0.0539	
MZ22516966	MZ22531020	0	1.0000	0.0000	0.8636	0.8636	0.0000	
MZ22505104	MZ22501455	0	1.0000	1.0000	1.0000	1.0000	0.0000	
MZ22500133	MZ22501455	0	0.1345	1.0000	0.2603	0.5445	-0.2842	
MZ22501758	MZ22500102	112	0.0957	0.0068	0.0314	0.0265	0.0049	
MZ22502244	MZ22521206	0	0.5126	0.8844	0.4922	0.6928	-0.2007	
MZ22527859	MZ22523564	0	0.8058	0.9630	0.7439	0.9394	-0.1955	
MZ22502409	MZ22511760	0	0.2001	0.9611	0.2169	0.5262	-0.3094	
MZ22510567	MZ22527742	0	1.0000	0.0000	0.8000	0.8000	0.0000	
MZ22524913	MZ22502656	0	0.8571	1.0000	0.9412	0.9412	0.0000	
MZ22500366	MZ22503426	0	0.0795	0.9578	0.2087	0.5068	-0.2981	
MZ22511098	MZ22503638	0	0.6987	0.3555	0.1066	0.4884	-0.3818	
MZ22520328	MZ22522727	0	0.0000	0.8885	0.5263	0.5712	-0.0448	
MZ22523251	MZ22513168	0	1.0000	1.0000	1.0000	1.0000	0.0000	
MZ22523184	MZ22519118	0	0.8738	0.9789	0.8889	0.9314	-0.0425	
MZ22504429	MZ22511379	0	0.7906	0.9958	0.8359	0.8907	-0.0548	
MZ22500802	MZ22503035	0	0.2167	0.5118	-0.0689	0.3602	-0.4292	
MZ22530451	MZ22518949	0	-0.5000	0.3318	-0.0263	0.1470	-0.1732	
MZ22509997	MZ22500093	0	0.9474	0.3190	0.3600	0.5843	-0.2243	
MZ22529098	MZ22516479	0	0.3072	0.1349	-0.1357	0.1693	-0.3050	
MZ22527914	MZ22530779	0	0.0000	0.1925	-0.2762	0.0770	-0.3532	
MZ22507494	MZ22515447	0	0.7657	0.9758	0.8127	0.8708	-0.0580	
MZ22524682	MZ22504274	0	0.2853	1.0000	0.5528	0.8076	-0.2548	
MZ22524536	MZ22517455	0	0.9792	0.0510	0.1412	0.4103	-0.2691	
MZ22518379	MZ22514795	0	0.8458	0.0833	0.5177	0.5408	-0.0230	
MZ22529977	MZ22513089	0	0.6667	0.4615	0.5000	0.5000	-0.0000	
MZ22511680	MZ22500779	0	1.0000	0.8188	0.8963	0.9068	-0.0106	
MZ22524729	MZ22521762	0	1.0000	0.8461	0.9375	0.9375	0.0000	
MZ22521360	MZ22513589	1	0.9776	0.9954	1.0000	0.9874	0.0126	
MZ22509375	MZ22523038	0	0.9927	0.5714	0.8772	0.8793	-0.0021	
MZ22503716	MZ22522587	0	0.9375	0.9836	0.9528	0.9612	-0.0085	
MZ22506455	MZ22518628	0	0.9444	0.6906	0.7971	0.8175	-0.0204	
MZ22500152	MZ22525767	0	0.0523	0.9640	0.1921	0.4813	-0.2893	
MZ22524582	MZ22505366	0	0.8667	0.7869	0.8208	0.8232	-0.0023	
MZ22504980	MZ22504631	0	0.2061	0.6959	0.3178	0.3898	-0.0719	
MZ22502592	MZ22516904	0	0.9859	0.3895	0.5062	0.7942	-0.2880	
MZ22508672	MZ22500897	0	1.0000	0.2602	0.3507	0.6301	-0.2795	
MZ22518321	MZ22514094	0	1.0000	0.1875	0.6326	0.7098	-0.0772	
MZ22511182	MZ22512593	0	1.0000	0.2820	0.3421	0.6307	-0.2886	
MZ22504025	MZ22505191	0	0.4558	1.0000	0.5122	0.8069	-0.2947	
MZ22522196	MZ22530440	0	0.8421	0.0000	0.7619	0.7619	-0.0000	
MZ22503224	MZ22520090	0	0.5869	0.6930	0.4475	0.6384	-0.1909	
MZ22500424	MZ22513664	0	0.1892	0.3571	-0.0036	0.2604	-0.2641	
MZ22502012	MZ22503756	0	0.5736	1.0000	0.5637	0.7750	-0.2112	
MZ22514739	MZ22514366	0	1.0000	0.3599	0.6235	0.7942	-0.1707	
MZ22506017	MZ22513095	0	0.9828	0.8965	0.8748	0.9436	-0.0688	
MZ22526709	MZ22527223	20	0.3114	0.3758	0.7139	0.3400	0.3739	
MZ22515157	MZ22516368	0	1.0000	0.8571	0.9394	0.9394	0.0000	
MZ22518217	MZ22507093	0	0.7647	0.2584	0.3253	0.4791	-0.1538	
MZ22524008	MZ22518389	0	0.6875	1.0000	0.8529	0.8529	0.0000	
MZ22503550	MZ22503373	0	0.1942	1.0000	0.3137	0.6086	-0.2949	
MZ22516526	MZ22531037	0	0.2264	0.0000	0.0622	0.1916	-0.1294	
MZ22520214	MZ22507248	0	0.9537	0.9444	0.9051	0.9468	-0.0416	
MZ22505072	MZ22528607	0	0.9724	1.0000	0.9722	0.9751	-0.0029	
MZ22503368	MZ22530593	0	0.9891	0.0000	0.8890	0.8902	-0.0012	
MZ22510560	MZ22523414	0	1.0000	0.9412	0.9730	0.9730	-0.0000	
MZ22514089	MZ22526763	0	-0.1952	0.1429	-0.0544	-0.0473	-0.0071	
MZ22510860	MZ22501526	0	1.0000	0.6611	0.7486	0.8076	-0.0591	
MZ22508398	MZ22508838	0	1.0000	0.8823	0.9429	0.9429	0.0000	
MZ22519446	MZ22510117	0	0.3046	1.0000	0.6820	0.7308	-0.0488	
MZ22507726	MZ22517009	0	1.0000	0.5401	0.8494	0.8762	-0.0267	
MZ22514107	MZ22504422	0	0.7647	0.5717	0.4792	0.6654	-0.1863	
MZ22523123	MZ22501179	0	0.9113	1.0000	0.9075	0.9612	-0.0537	
MZ22514908	MZ22513037	0	1.0000	0.3552	0.5327	0.7697	-0.2369	
MZ22523318	MZ22506731	0	0.2518	1.0000	0.6839	0.8699	-0.1860	
MZ22519528	MZ22523885	0	0.7751	0.9346	0.7346	0.8602	-0.1256	
MZ22512513	MZ22520533	0	1.0000	0.6537	0.7555	0.8269	-0.0713	
MZ22501008	MZ22514803	0	1.0000	1.0000	1.0000	1.0000	0.0000	
MZ22505546	MZ22502844	0	1.0000	0.9830	0.9828	0.9895	-0.0067	
MZ22516376	MZ22510668	0	0.9091	1.0000	0.9054	0.9610	-0.0557	
MZ22500817	MZ22507570	0	0.1468	0.9783	0.2509	0.5507	-0.2998	
MZ22512907	MZ22520092	0	0.7089	0.9436	0.8191	0.8480	-0.0289	
MZ22513833	MZ22516536	0	1.0000	0.7734	0.9251	0.9303	-0.0052	
MZ22506188	MZ22504806	0	0.7216	0.4023	0.3894	0.5442	-0.1548	
MZ22504706	MZ22508753	0	0.6338	0.3240	0.1444	0.4829	-0.3385	
MZ22517302	MZ22507257	0	0.9689	1.0000	0.9679	0.9849	-0.0170	
MZ22530288	MZ22504435	0	-0.5000	0.9488	0.7905	0.7963	-0.0057	
MZ22518323	MZ22529155	0	0.8425	0.5736	0.6512	0.8142	-0.1630	
MZ22525010	MZ22500612	0	-0.2512	0.9132	0.4453	0.5549	-0.1096	
MZ22524934	MZ22508093	0	1.0000	0.7895	0.8857	0.8857	0.0000	
MZ22519095	MZ22524805	11	0.7761	0.8768	0.6926	0.8171	-0.1245	
MZ22530523	MZ22514452	0	1.0000	0.8000	0.8235	0.8235	0.0000	
MZ22504061	MZ22527036	0	0.9418	0.0000	0.7700	0.7705	-0.0005	
MZ22510301	MZ22518933	0	-0.0306	1.0000	0.2366	0.2432	-0.0066	
MZ22527486	MZ22509103	0	0.0000	0.0864	-0.1890	0.0605	-0.2495	
MZ22515973	MZ22527520	0	0.7813	0.0000	0.6418	0.6697	-0.0279	
MZ22520105	MZ22516111	0	0.6761	0.8182	0.7194	0.7319	-0.0124	
MZ22517893	MZ22511757	0	1.0000	0.4508	0.7700	0.7769	-0.0069	
MZ22527705	MZ22525725	0	0.6667	0.2502	0.3265	0.3890	-0.0626	
MZ22513607	MZ22503368	0	0.5625	0.9891	0.7829	0.7883	-0.0054	
MZ22507966	MZ22502977	0	0.1076	1.0000	0.2848	0.5659	-0.2810	
MZ22526653	MZ22518476	0	0.0255	0.1273	-0.3751	0.0691	-0.4442	
MZ22510633	MZ22522274	0	0.7260	0.3404	0.4501	0.6651	-0.2150	
MZ22500325	MZ22519485	0	0.5336	0.6331	0.1359	0.5701	-0.4342	
MZ22528747	MZ22508479	2	0.2169	0.3514	0.4296	0.2745	0.1551	
