F1 	 F2 	 num_edges_between 	 s1 	 s2 	 s 	 s12 	 s12-s 
MZ22510959	MZ22524444	0	1.0000	1.0000	1.0000	1.0000	0.0000	
MZ22526119	MZ22507969	0	1.0000	1.0000	1.0000	1.0000	0.0000	
MZ22522015	MZ22504114	0	1.0000	1.0000	1.0000	1.0000	0.0000	
MZ22520824	MZ22521128	0	0.1947	-0.3350	-0.5164	-0.0702	-0.4462	
MZ22517720	MZ22501379	0	0.7124	1.0000	0.8142	0.8780	-0.0638	
MZ22515638	MZ22514262	0	-0.5000	0.8750	0.6000	0.6000	0.0000	
MZ22519214	MZ22531060	0	1.0000	0.6667	0.9000	0.9000	-0.0000	
MZ22521698	MZ22530894	0	0.3711	0.1290	-0.1017	0.2500	-0.3517	
MZ22522320	MZ22508065	0	0.2243	0.9050	0.4879	0.6327	-0.1448	
MZ22506394	MZ22502404	0	1.0000	1.0000	1.0000	1.0000	0.0000	
MZ22527889	MZ22527643	0	0.9695	0.2657	0.3486	0.6879	-0.3393	
MZ22515552	MZ22501766	0	0.9444	0.9974	0.9696	0.9709	-0.0014	
MZ22516062	MZ22526828	0	0.3596	0.3750	0.2626	0.3658	-0.1032	
MZ22521585	MZ22518346	0	0.7305	0.7627	0.5618	0.7458	-0.1840	
MZ22502242	MZ22504216	0	0.9444	0.5291	0.4922	0.7312	-0.2390	
MZ22531238	MZ22524704	0	0.0000	0.5454	0.4615	0.4615	0.0000	
MZ22520633	MZ22526270	0	0.5148	0.6667	0.5413	0.5528	-0.0114	
MZ22521252	MZ22514852	0	1.0000	0.8823	0.9394	0.9394	0.0000	
MZ22510562	MZ22530930	0	0.9333	-0.5000	0.7647	0.7647	0.0000	
MZ22512168	MZ22508081	0	0.9412	1.0000	0.9714	0.9714	-0.0000	
MZ22502219	MZ22529995	0	0.6772	0.0000	0.6243	0.6321	-0.0078	
MZ22528732	MZ22527812	0	1.0000	0.5000	0.6667	0.6667	0.0000	
MZ22505858	MZ22529191	0	1.0000	0.0000	0.9048	0.9048	0.0000	
MZ22527896	MZ22519551	0	0.0000	0.9244	0.7179	0.7190	-0.0010	
MZ22506998	MZ22530645	0	1.0000	0.0000	0.9000	0.9000	0.0000	
MZ22506579	MZ22516963	0	0.7222	1.0000	0.8611	0.8611	0.0000	
MZ22504382	MZ22508895	0	0.5294	0.8865	0.6608	0.7131	-0.0522	
MZ22507741	MZ22511757	0	1.0000	0.4508	0.7629	0.7697	-0.0068	
MZ22504693	MZ22518633	0	0.9255	-0.5000	0.7810	0.7830	-0.0020	
MZ22506061	MZ22525493	0	-0.0037	0.4477	-0.1287	0.2220	-0.3507	
MZ22512743	MZ22530618	0	0.3263	-0.5000	0.1769	0.2393	-0.0624	
MZ22500234	MZ22509237	0	0.5616	1.0000	0.5520	0.7749	-0.2229	
MZ22502149	MZ22529984	0	0.2636	1.0000	0.2814	0.3306	-0.0492	
MZ22526985	MZ22526601	0	1.0000	0.4065	0.6386	0.8750	-0.2364	
MZ22514495	MZ22528235	0	0.2825	1.0000	0.3365	0.3622	-0.0258	
MZ22518783	MZ22500029	0	0.9663	0.2699	0.2770	0.5882	-0.3113	
MZ22526908	MZ22528268	0	0.5064	0.1595	-0.1230	0.3908	-0.5138	
MZ22527457	MZ22527185	0	0.6667	-0.2500	0.1429	0.1429	-0.0000	
MZ22509577	MZ22507679	0	0.9239	1.0000	0.9209	0.9664	-0.0456	
MZ22528362	MZ22501866	0	0.2239	1.0000	0.8068	0.9224	-0.1156	
MZ22514676	MZ22527269	0	1.0000	0.0598	0.6047	0.7314	-0.1267	
MZ22529253	MZ22519565	0	1.0000	1.0000	1.0000	1.0000	0.0000	
MZ22528699	MZ22522653	0	0.0000	0.9412	0.8000	0.8000	-0.0000	
MZ22521707	MZ22504259	0	-0.3333	0.7542	0.5781	0.6059	-0.0278	
MZ22531143	MZ22523024	0	0.0000	0.5000	0.3333	0.3333	0.0000	
MZ22505179	MZ22529212	0	0.8257	0.0000	0.7380	0.7431	-0.0052	
MZ22509591	MZ22516406	0	0.9130	-0.1667	0.6897	0.6897	0.0000	
MZ22514187	MZ22519578	0	0.0162	1.0000	0.3381	0.5590	-0.2209	
MZ22501250	MZ22526776	0	0.5058	1.0000	0.4956	0.7035	-0.2079	
MZ22529033	MZ22507890	0	-0.2255	0.7261	0.3872	0.5562	-0.1690	
MZ22501512	MZ22531208	0	0.7498	0.4952	0.6556	0.7255	-0.0700	
MZ22515551	MZ22529221	0	0.9817	0.0000	0.8704	0.8726	-0.0022	
MZ22530901	MZ22506648	0	0.0000	1.0000	0.9048	0.9048	0.0000	
MZ22505542	MZ22507357	0	0.0000	1.0000	0.7857	0.7857	0.0000	
MZ22529190	MZ22522587	0	1.0000	0.9836	0.9835	0.9853	-0.0018	
MZ22518616	MZ22515945	0	1.0000	0.8823	0.9429	0.9429	0.0000	
MZ22521360	MZ22503256	0	0.9776	-0.1537	0.4891	0.6633	-0.1742	
MZ22507551	MZ22525783	0	1.0000	0.8578	0.8517	0.9378	-0.0861	
MZ22510175	MZ22502376	0	0.8750	1.0000	0.9615	0.9615	0.0000	
MZ22501664	MZ22507232	0	0.4391	0.9444	0.4954	0.6175	-0.1221	
MZ22511340	MZ22500597	0	0.5166	1.0000	0.6893	0.7973	-0.1079	
MZ22512340	MZ22501892	0	1.0000	1.0000	1.0000	1.0000	0.0000	
MZ22529609	MZ22503373	0	0.6667	1.0000	0.9524	0.9524	-0.0000	
MZ22526466	MZ22526522	0	0.0000	0.7217	0.5010	0.5293	-0.0283	
MZ22502498	MZ22521998	0	0.5879	0.0000	0.5067	0.5078	-0.0011	
MZ22504681	MZ22526993	0	1.0000	0.0000	0.8571	0.8571	0.0000	
MZ22504134	MZ22501552	0	0.7978	0.1089	0.0626	0.3978	-0.3352	
MZ22521736	MZ22522469	0	0.6250	0.9851	0.8265	0.8335	-0.0069	
MZ22521976	MZ22515563	0	0.0000	0.6969	0.5899	0.6019	-0.0120	
MZ22525341	MZ22507166	0	0.8823	0.6634	0.6047	0.7640	-0.1593	
MZ22515417	MZ22503929	0	0.7222	0.9444	0.8333	0.8333	0.0000	
MZ22530153	MZ22502838	0	0.9800	0.7697	0.7305	0.7897	-0.0592	
MZ22512921	MZ22515495	0	1.0000	0.8401	0.9044	0.9223	-0.0179	
MZ22504793	MZ22502086	0	0.1548	0.3556	-0.2630	0.2608	-0.5238	
MZ22526709	MZ22517379	0	0.3114	0.9375	0.5501	0.7884	-0.2384	
MZ22511145	MZ22508726	0	0.9867	0.3050	0.3250	0.6269	-0.3020	
MZ22503853	MZ22530470	0	0.4159	-0.2506	0.1329	0.3159	-0.1830	
MZ22504345	MZ22502943	0	1.0000	0.3419	0.5536	0.6621	-0.1085	
MZ22512423	MZ22528369	0	0.2884	0.5802	0.1214	0.3208	-0.1994	
MZ22531153	MZ22508843	0	0.0000	0.3400	0.2402	0.3042	-0.0640	
MZ22529297	MZ22518016	0	0.0000	1.0000	0.8824	0.8824	0.0000	
MZ22521647	MZ22515626	0	1.0000	0.2039	0.4121	0.6229	-0.2109	
MZ22508276	MZ22527393	0	1.0000	0.4286	0.8400	0.8400	0.0000	
MZ22509229	MZ22507399	0	0.4813	0.5027	-0.0299	0.4920	-0.5219	
MZ22513323	MZ22505852	0	0.9081	1.0000	0.9504	0.9553	-0.0049	
MZ22501213	MZ22528888	0	1.0000	1.0000	1.0000	1.0000	0.0000	
MZ22529347	MZ22527821	0	0.0791	1.0000	0.3086	0.6316	-0.3231	
MZ22508684	MZ22519740	0	0.9725	0.8007	0.7631	0.8981	-0.1350	
MZ22506596	MZ22513782	0	0.7970	0.6794	0.4573	0.7422	-0.2849	
MZ22529283	MZ22516392	0	1.0000	0.6667	0.8000	0.8000	-0.0000	
MZ22511487	MZ22502187	0	1.0000	0.2426	0.3209	0.6213	-0.3004	
MZ22508957	MZ22505967	0	1.0000	0.9362	0.9552	0.9690	-0.0139	
MZ22501339	MZ22515575	0	0.8394	0.9419	0.8147	0.8907	-0.0760	
MZ22503805	MZ22513635	0	1.0000	0.1026	0.2721	0.5513	-0.2792	
MZ22529031	MZ22513791	0	0.9867	1.0000	0.9747	0.9987	-0.0240	
MZ22519209	MZ22524667	0	0.8596	0.2857	0.6179	0.6683	-0.0504	
MZ22508838	MZ22501215	0	0.8823	0.6821	0.6133	0.7822	-0.1689	
MZ22508266	MZ22505203	0	0.3362	0.9966	0.5331	0.7325	-0.1994	
MZ22506826	MZ22513522	0	1.0000	0.7143	0.8788	0.8788	-0.0000	
MZ22528208	MZ22529098	0	0.6206	0.3072	-0.2399	0.4639	-0.7038	
MZ22500396	MZ22506147	0	0.8764	1.0000	0.8874	0.9382	-0.0508	
MZ22511485	MZ22504707	0	1.0000	0.2585	0.3214	0.6192	-0.2978	
MZ22522233	MZ22529586	0	0.0000	-0.5000	-0.1429	-0.1429	0.0000	
MZ22528106	MZ22505324	0	0.1500	0.8512	0.6466	0.7774	-0.1308	
MZ22520501	MZ22508068	0	-0.5000	0.4240	0.2637	0.3268	-0.0631	
MZ22502329	MZ22530787	0	1.0000	0.4338	0.8093	0.9434	-0.1341	
MZ22529459	MZ22524300	0	0.5729	-0.2500	-0.3439	0.0243	-0.3682	
MZ22530036	MZ22501769	0	0.0000	0.0492	-0.0702	0.0434	-0.1136	
MZ22518389	MZ22518604	0	1.0000	0.8125	0.9118	0.9118	0.0000	
MZ22505158	MZ22511640	0	0.9518	1.0000	0.9503	0.9766	-0.0263	
MZ22522227	MZ22524791	0	-0.1429	0.9693	0.5472	0.5596	-0.0123	
MZ22502439	MZ22505694	0	0.0829	0.5413	-0.0569	0.3256	-0.3825	
MZ22500088	MZ22511442	0	0.1544	0.5773	-0.1278	0.3601	-0.4879	
MZ22519816	MZ22519658	0	0.9333	1.0000	0.9688	0.9687	0.0000	
MZ22528091	MZ22530328	0	-1.0000	0.4379	-0.6967	-0.2810	-0.4156	
MZ22505357	MZ22514250	0	0.7895	1.0000	0.8889	0.8889	0.0000	
MZ22517509	MZ22522027	0	0.3236	0.4434	-0.1129	0.3621	-0.4750	
MZ22529682	MZ22501039	0	-0.5000	0.2390	0.0845	0.1651	-0.0806	
MZ22508939	MZ22527172	0	0.8366	0.8182	0.8185	0.8299	-0.0113	
MZ22528070	MZ22528328	0	-0.0740	-0.0343	-0.6847	-0.0542	-0.6305	
MZ22524509	MZ22507060	0	-0.2455	0.9635	0.5871	0.7217	-0.1346	
MZ22525787	MZ22516290	0	1.0000	0.9152	0.9121	0.9521	-0.0399	
MZ22509182	MZ22527231	0	1.0000	0.6667	0.9091	0.9091	-0.0000	
MZ22530796	MZ22502898	0	0.0000	1.0000	0.9130	0.9130	0.0000	
MZ22516855	MZ22523559	0	1.0000	0.2985	0.6621	0.8664	-0.2042	
MZ22514119	MZ22522797	0	0.9444	0.9664	0.9354	0.9544	-0.0190	
MZ22522687	MZ22504428	0	0.7069	0.4040	0.4657	0.5761	-0.1103	
MZ22502513	MZ22525809	0	0.9816	0.6667	0.9430	0.9452	-0.0022	
MZ22516824	MZ22507530	0	0.6126	0.8891	0.6421	0.8496	-0.2075	
MZ22516366	MZ22522065	0	0.8512	0.6667	0.7492	0.7673	-0.0181	
MZ22530704	MZ22517184	0	-1.0000	1.0000	0.8000	0.8000	0.0000	
MZ22520114	MZ22519711	0	0.0000	1.0000	0.7500	0.7500	0.0000	
MZ22524839	MZ22514370	0	0.1599	1.0000	0.4338	0.6324	-0.1986	
MZ22526153	MZ22517636	0	0.7156	0.8679	0.5855	0.8361	-0.2507	
MZ22523050	MZ22502600	0	0.7929	0.3892	0.1578	0.5537	-0.3959	
MZ22504722	MZ22510689	0	0.9603	0.1727	0.5729	0.7891	-0.2162	
MZ22516690	MZ22512038	0	0.9444	1.0000	0.9730	0.9730	0.0000	
MZ22526256	MZ22517870	0	0.2500	0.1409	-0.0608	0.2136	-0.2745	
MZ22500953	MZ22513117	0	0.5950	0.7896	0.4976	0.6741	-0.1765	
MZ22526962	MZ22528048	0	1.0000	0.1628	0.2391	0.5814	-0.3422	
MZ22509841	MZ22520182	0	0.1628	0.6448	-0.0417	0.3457	-0.3874	
MZ22510492	MZ22530032	0	0.8823	0.0000	0.7703	0.7842	-0.0140	
MZ22505924	MZ22518483	0	0.2252	0.5547	0.0758	0.4229	-0.3471	
MZ22511756	MZ22513608	0	1.0000	0.9103	0.9512	0.9551	-0.0040	
MZ22504330	MZ22525942	0	1.0000	0.0759	0.7297	0.8680	-0.1382	
MZ22510345	MZ22500772	0	0.9958	0.8444	0.8362	0.9161	-0.0799	
MZ22500024	MZ22527238	0	0.1501	0.0000	-0.0601	0.1189	-0.1789	
MZ22529038	MZ22500459	0	0.0000	0.0266	-0.0702	0.0239	-0.0942	
MZ22523852	MZ22523704	0	0.5454	0.8667	0.7308	0.7308	0.0000	
MZ22514107	MZ22519454	0	0.7647	0.2268	0.5206	0.6840	-0.1634	
MZ22510319	MZ22514757	0	0.7726	1.0000	0.7896	0.8826	-0.0930	
MZ22502836	MZ22528220	0	0.2165	0.2968	-0.3926	0.2432	-0.6359	
MZ22507366	MZ22503725	0	1.0000	1.0000	1.0000	1.0000	0.0000	
MZ22500673	MZ22524739	0	0.6764	-0.2368	0.2654	0.3818	-0.1164	
MZ22530924	MZ22525380	0	0.7501	0.9180	0.7214	0.8994	-0.1780	
MZ22516793	MZ22511767	0	0.7587	0.2184	0.0536	0.4548	-0.4011	
MZ22517151	MZ22531127	0	0.5000	0.0000	0.3333	0.3333	0.0000	
MZ22507287	MZ22531101	0	0.8720	1.0000	0.8806	0.8855	-0.0048	
MZ22520661	MZ22501960	0	0.4229	0.3914	0.1697	0.3993	-0.2296	
MZ22503514	MZ22527211	0	1.0000	0.9190	0.9145	0.9676	-0.0530	
MZ22517229	MZ22527840	0	1.0000	1.0000	1.0000	1.0000	0.0000	
MZ22519844	MZ22531183	0	0.9526	0.0000	0.8524	0.8574	-0.0050	
MZ22530476	MZ22523182	0	0.0000	0.9333	0.8235	0.8235	0.0000	
MZ22508621	MZ22511646	0	1.0000	0.5235	0.5512	0.7758	-0.2245	
MZ22512197	MZ22518861	0	0.3570	0.9618	0.3558	0.6301	-0.2743	
MZ22522540	MZ22524452	0	1.0000	0.9824	0.9817	0.9915	-0.0098	
MZ22514706	MZ22505927	0	0.7483	0.7500	0.7063	0.7489	-0.0426	
MZ22522535	MZ22506758	0	0.6000	1.0000	0.9048	0.9048	0.0000	
MZ22523656	MZ22513498	0	1.0000	0.2532	0.5172	0.6486	-0.1314	
MZ22520937	MZ22527432	0	1.0000	-0.3333	0.7895	0.7895	-0.0000	
MZ22507134	MZ22527640	0	0.5447	0.2687	0.0774	0.4711	-0.3937	
MZ22523610	MZ22529426	0	0.0000	0.7336	-0.0206	0.2934	-0.3141	
MZ22517955	MZ22529485	0	0.9273	0.0000	0.8268	0.8345	-0.0077	
MZ22531090	MZ22516658	0	0.0000	1.0000	0.5000	0.5000	0.0000	
MZ22523833	MZ22517684	0	1.0000	0.1370	0.6366	0.8274	-0.1908	
MZ22524403	MZ22509111	0	0.0000	-0.0762	-0.2247	-0.0583	-0.1664	
MZ22514301	MZ22525711	0	0.9333	-0.4736	0.6214	0.6988	-0.0774	
MZ22517893	MZ22504418	0	1.0000	1.0000	1.0000	1.0000	0.0000	
MZ22508726	MZ22503256	0	0.3050	-0.1537	-0.0822	0.2094	-0.2916	
MZ22517774	MZ22505672	0	1.0000	0.5354	0.5871	0.7478	-0.1607	
MZ22525301	MZ22509807	0	0.9167	0.9053	0.8824	0.9100	-0.0276	
MZ22524740	MZ22520631	0	0.9284	0.1314	0.4685	0.7186	-0.2502	
MZ22509656	MZ22527426	0	1.0000	-0.3333	0.8095	0.8095	-0.0000	
MZ22525723	MZ22505611	0	0.9444	1.0000	0.9730	0.9730	0.0000	
MZ22523003	MZ22521715	0	1.0000	0.4135	0.6373	0.7519	-0.1146	
MZ22524738	MZ22526509	0	0.2150	0.8560	0.6701	0.7136	-0.0435	
MZ22521308	MZ22504920	0	0.3998	1.0000	0.8078	0.8320	-0.0241	
MZ22519007	MZ22515343	0	0.3333	0.6532	0.5921	0.5999	-0.0078	
MZ22525305	MZ22524954	0	-0.4000	0.9302	0.5603	0.5801	-0.0198	
MZ22501272	MZ22511052	0	0.0848	0.8321	0.2710	0.4118	-0.1407	
MZ22514873	MZ22530552	0	1.0000	0.2759	0.7975	0.9238	-0.1262	
MZ22515022	MZ22524294	0	1.0000	0.9767	0.9752	0.9911	-0.0159	
MZ22521233	MZ22530428	0	0.8701	1.0000	0.8688	0.8863	-0.0175	
MZ22523197	MZ22505252	0	0.9567	1.0000	0.9524	0.9867	-0.0343	
MZ22523244	MZ22510773	0	0.5712	0.8237	0.4572	0.7636	-0.3065	
MZ22526137	MZ22527427	0	0.7550	0.9312	0.6770	0.8651	-0.1881	
MZ22525810	MZ22527134	0	0.8107	1.0000	0.8783	0.9054	-0.0271	
MZ22516119	MZ22513635	0	1.0000	0.1026	0.2596	0.5385	-0.2789	
MZ22508510	MZ22509435	0	0.4554	1.0000	0.5527	0.8055	-0.2528	
MZ22530160	MZ22520928	0	0.7013	1.0000	0.8176	0.9701	-0.1525	
MZ22527092	MZ22510002	0	1.0000	0.6386	0.7047	0.7109	-0.0061	
MZ22511752	MZ22519640	0	0.0000	1.0000	0.6923	0.6923	0.0000	
MZ22516237	MZ22519990	0	0.9412	0.2899	0.6117	0.8171	-0.2055	
