F1 	 F2 	 num_edges_between 	 s1 	 s2 	 s 	 s12 	 s12-s 
MZ22529097	MZ22511397	0	-0.0034	1.0000	0.7846	0.8885	-0.1039	
MZ22529514	MZ22510016	0	-1.0000	0.9600	0.7492	0.7537	-0.0045	
MZ22529481	MZ22514088	0	-0.0361	0.9412	0.7425	0.8383	-0.0958	
MZ22530446	MZ22517307	0	1.0000	0.9722	0.9720	0.9753	-0.0033	
MZ22510658	MZ22509401	27	0.1419	0.4370	0.9387	0.3878	0.5509	
MZ22530765	MZ22521212	0	0.0000	0.9375	0.8333	0.8333	0.0000	
MZ22530480	MZ22521049	0	0.0483	0.8750	0.6735	0.7831	-0.1096	
MZ22530777	MZ22512981	0	0.0000	0.8750	0.7778	0.7778	0.0000	
MZ22530101	MZ22504351	0	-0.5000	1.0000	0.8333	0.8333	0.0000	
MZ22528258	MZ22523900	0	-0.0403	1.0000	0.7951	0.8905	-0.0954	
MZ22529917	MZ22513011	0	0.2538	1.0000	0.7865	0.9171	-0.1306	
MZ22529578	MZ22522120	0	-0.5000	0.9908	0.8328	0.8338	-0.0010	
MZ22528146	MZ22521473	0	-0.2671	0.7059	0.5306	0.6035	-0.0729	
MZ22529027	MZ22515461	0	0.0000	0.9715	0.8602	0.8636	-0.0034	
MZ22528774	MZ22500473	0	0.6667	0.9668	0.9164	0.9217	-0.0053	
MZ22528808	MZ22507425	0	1.0000	0.9222	0.9216	0.9308	-0.0092	
MZ22530290	MZ22502937	0	0.0000	0.7921	0.6997	0.7041	-0.0044	
MZ22511049	MZ22506226	0	0.5000	0.9401	0.8280	0.8423	-0.0143	
MZ22528408	MZ22505093	0	0.6388	0.8125	0.6293	0.7932	-0.1639	
MZ22530712	MZ22502300	0	-0.5000	0.9474	0.8095	0.8095	-0.0000	
MZ22528953	MZ22519748	0	0.3188	1.0000	0.8684	0.8865	-0.0181	
MZ22528257	MZ22508437	0	-1.0000	0.7303	0.5061	0.5381	-0.0320	
MZ22529191	MZ22502371	0	0.0000	0.5783	0.4854	0.5257	-0.0404	
MZ22528059	MZ22505143	0	-0.0467	0.5695	0.3651	0.5010	-0.1359	
MZ22529289	MZ22500473	0	1.0000	0.9668	0.9665	0.9703	-0.0037	
MZ22521088	MZ22522575	0	-1.0000	1.0000	0.7895	0.7895	0.0000	
MZ22529573	MZ22502371	0	1.0000	0.5783	0.5763	0.6166	-0.0404	
MZ22530996	MZ22518028	0	-0.5000	0.8101	0.6582	0.6645	-0.0063	
MZ22528468	MZ22525786	0	0.1047	1.0000	0.7851	0.9005	-0.1154	
MZ22528438	MZ22501259	0	0.0000	0.6842	0.6190	0.6190	0.0000	
MZ22530395	MZ22516942	0	0.0000	0.9706	0.8593	0.8628	-0.0035	
MZ22528347	MZ22517277	0	0.0784	0.6875	0.5071	0.6198	-0.1127	
MZ22529393	MZ22525380	0	0.0682	0.9180	0.7022	0.8236	-0.1214	
MZ22530030	MZ22521232	0	0.0000	1.0000	0.8889	0.8889	0.0000	
MZ22528385	MZ22517401	0	0.1597	1.0000	0.7965	0.9115	-0.1151	
MZ22527955	MZ22512685	0	0.6376	0.7215	0.5758	0.7131	-0.1373	
MZ22528267	MZ22500473	0	1.0000	0.9668	0.9665	0.9703	-0.0037	
MZ22531113	MZ22521232	0	0.0000	1.0000	0.8889	0.8889	0.0000	
MZ22528431	MZ22520302	0	0.0000	1.0000	0.8889	0.8889	0.0000	
MZ22531166	MZ22522009	0	0.0000	0.8125	0.7222	0.7222	0.0000	
MZ22529753	MZ22517774	0	0.0000	1.0000	0.8889	0.8889	0.0000	
MZ22528653	MZ22524072	0	-0.3109	1.0000	0.7823	0.8543	-0.0721	
MZ22528158	MZ22523900	0	0.0113	1.0000	0.7954	0.8959	-0.1005	
MZ22528110	MZ22514533	0	-0.2842	1.0000	0.7825	0.8573	-0.0749	
MZ22528614	MZ22524257	0	0.0273	0.9547	0.7388	0.8516	-0.1128	
MZ22527985	MZ22507807	0	0.0746	1.0000	0.7848	0.8972	-0.1123	
MZ22528999	MZ22506483	0	0.9674	0.8750	0.8273	0.8853	-0.0580	
MZ22528205	MZ22500012	0	-0.0755	0.0669	-0.1516	0.0511	-0.2027	
MZ22531251	MZ22523981	0	1.0000	0.9385	0.9387	0.9454	-0.0066	
MZ22529301	MZ22515771	0	-0.4207	1.0000	0.7816	0.8421	-0.0606	
MZ22530829	MZ22517149	0	0.0000	0.9412	0.8421	0.8421	-0.0000	
MZ22529039	MZ22502937	0	1.0000	0.7921	0.8108	0.8152	-0.0044	
MZ22509447	MZ22514711	0	0.3213	1.0000	0.8719	0.8869	-0.0150	
MZ22528132	MZ22506359	0	0.9710	0.8125	0.7786	0.8301	-0.0515	
MZ22530026	MZ22512374	0	-1.0000	0.9375	0.7222	0.7222	0.0000	
MZ22528205	MZ22508437	0	-0.0755	0.7303	0.5122	0.6408	-0.1286	
MZ22529003	MZ22500528	0	-0.5000	0.2202	0.0735	0.1516	-0.0781	
MZ22528816	MZ22502300	0	1.0000	0.9474	0.9524	0.9524	-0.0000	
MZ22528810	MZ22508612	0	0.0000	0.6884	0.5749	0.6119	-0.0369	
MZ22528078	MZ22502227	0	0.0000	0.9832	0.8879	0.8896	-0.0017	
MZ22528451	MZ22525786	0	0.1865	1.0000	0.7858	0.9096	-0.1238	
MZ22529954	MZ22518163	0	0.3541	0.9375	0.7323	0.8727	-0.1403	
MZ22527201	MZ22523307	0	0.1173	1.0000	0.7852	0.9019	-0.1167	
MZ22531066	MZ22513285	0	-0.5000	0.7344	0.5924	0.5973	-0.0049	
MZ22512144	MZ22525813	0	0.3709	0.5000	0.1456	0.4426	-0.2970	
MZ22528492	MZ22519869	0	0.1075	0.6213	0.4293	0.5642	-0.1350	
MZ22528467	MZ22515815	0	0.0000	0.8125	0.7222	0.7222	0.0000	
MZ22528132	MZ22517298	0	0.9710	0.5873	0.5693	0.6299	-0.0606	
MZ22506192	MZ22506801	0	0.5052	0.4446	0.1364	0.4581	-0.3216	
MZ22529525	MZ22517774	0	0.0000	1.0000	0.8889	0.8889	0.0000	
MZ22528523	MZ22503732	0	0.0000	0.8750	0.7778	0.7778	0.0000	
MZ22528467	MZ22503652	0	0.0000	0.9412	0.8421	0.8421	-0.0000	
MZ22529281	MZ22523900	0	-0.4044	1.0000	0.7930	0.8522	-0.0592	
MZ22528827	MZ22506681	0	-0.4373	1.0000	0.7928	0.8487	-0.0559	
MZ22528530	MZ22500881	0	1.0000	0.4896	0.4928	0.5433	-0.0505	
MZ22529406	MZ22501259	0	1.0000	0.6842	0.7143	0.7143	0.0000	
MZ22528104	MZ22506263	0	-1.0000	0.9412	0.7368	0.7368	-0.0000	
MZ22528134	MZ22502303	0	0.0593	1.0000	0.8056	0.9059	-0.1003	
MZ22530856	MZ22518628	0	0.0000	0.6906	0.6140	0.6215	-0.0075	
MZ22527339	MZ22514008	0	-1.0000	0.3091	0.0838	0.1636	-0.0799	
MZ22529077	MZ22502300	0	0.0000	0.9474	0.8571	0.8571	-0.0000	
MZ22528536	MZ22524028	0	-0.1732	1.0000	0.7832	0.8696	-0.0865	
MZ22530797	MZ22520919	0	0.1648	0.8554	0.6399	0.7787	-0.1387	
MZ22528665	MZ22524028	0	0.0618	1.0000	0.7847	0.8958	-0.1110	
MZ22527984	MZ22503107	0	0.0857	0.0890	-0.1277	0.0886	-0.2163	
MZ22529779	MZ22502972	0	-0.1713	0.9896	0.7939	0.8735	-0.0796	
MZ22528653	MZ22521473	0	-0.3109	0.7059	0.5303	0.5988	-0.0685	
MZ22528862	MZ22500473	0	1.0000	0.9668	0.9665	0.9703	-0.0037	
MZ22529672	MZ22514101	0	1.0000	0.9412	0.9474	0.9474	-0.0000	
MZ22528715	MZ22517277	0	-1.0000	0.6875	0.5000	0.5000	0.0000	
MZ22529191	MZ22516929	0	0.0000	0.8504	0.7382	0.7559	-0.0177	
MZ22530132	MZ22508612	0	1.0000	0.6884	0.6860	0.7230	-0.0369	
MZ22529715	MZ22514741	0	0.0000	1.0000	0.8889	0.8889	0.0000	
MZ22529418	MZ22500473	0	1.0000	0.9668	0.9665	0.9703	-0.0037	
MZ22530293	MZ22521916	0	0.9210	0.4375	0.3605	0.4912	-0.1307	
MZ22530524	MZ22507518	0	0.8900	0.8078	0.7225	0.8169	-0.0944	
MZ22527676	MZ22514741	0	0.6546	1.0000	0.8006	0.9616	-0.1610	
MZ22529397	MZ22519206	0	0.0000	1.0000	0.8889	0.8889	0.0000	
MZ22528407	MZ22519011	0	-1.0000	0.7500	0.5556	0.5556	0.0000	
MZ22529330	MZ22504895	0	0.0000	0.8750	0.7778	0.7778	0.0000	
MZ22518345	MZ22519748	0	0.3256	1.0000	0.6961	0.8876	-0.1915	
MZ22530693	MZ22525380	0	1.0000	0.9180	0.9174	0.9271	-0.0097	
MZ22528468	MZ22513210	0	0.1047	1.0000	0.8059	0.9105	-0.1046	
MZ22531234	MZ22502185	0	0.0000	0.3719	0.2635	0.3306	-0.0670	
MZ22529721	MZ22516877	0	0.0000	-0.0126	-0.1144	-0.0112	-0.1033	
MZ22529481	MZ22519449	0	-0.0361	1.0000	0.7841	0.8849	-0.1008	
MZ22530026	MZ22511140	0	-1.0000	1.0000	0.7778	0.7778	0.0000	
MZ22529902	MZ22508599	0	0.0000	0.6842	0.6190	0.6190	0.0000	
MZ22530146	MZ22503292	0	1.0000	1.0000	1.0000	1.0000	0.0000	
MZ22531139	MZ22519538	0	0.0000	0.9534	0.8419	0.8475	-0.0055	
MZ22528683	MZ22515670	0	0.0000	0.8125	0.7222	0.7222	0.0000	
MZ22529339	MZ22507807	0	1.0000	1.0000	1.0000	1.0000	0.0000	
MZ22528651	MZ22521630	0	0.7500	0.5853	0.6040	0.6182	-0.0143	
MZ22528138	MZ22520937	0	1.0000	1.0000	1.0000	1.0000	0.0000	
MZ22529274	MZ22514661	0	0.0000	0.7500	0.6667	0.6667	0.0000	
MZ22515206	MZ22520666	0	-0.1021	0.1165	-0.4217	0.0436	-0.4653	
MZ22528840	MZ22508612	0	0.0000	0.6884	0.5749	0.6119	-0.0369	
MZ22529913	MZ22501546	0	-0.5000	0.8750	0.7222	0.7222	0.0000	
MZ22528553	MZ22517667	0	0.0000	0.7273	0.6667	0.6667	0.0000	
MZ22528320	MZ22510919	0	0.0000	1.0000	0.8889	0.8889	0.0000	
MZ22529981	MZ22516306	0	1.0000	1.0000	1.0000	1.0000	0.0000	
MZ22528996	MZ22508612	0	1.0000	0.6884	0.6860	0.7230	-0.0369	
MZ22528560	MZ22513954	0	0.0000	0.9375	0.8333	0.8333	0.0000	
MZ22529878	MZ22509483	0	0.9737	0.8235	0.7922	0.8393	-0.0471	
MZ22528529	MZ22506687	0	0.0964	1.0000	0.7960	0.9049	-0.1089	
MZ22530674	MZ22507914	0	0.0000	0.6742	0.5606	0.5993	-0.0386	
MZ22528429	MZ22510919	0	1.0000	1.0000	1.0000	1.0000	0.0000	
MZ22526239	MZ22515037	0	-1.0000	0.4394	0.2130	0.2795	-0.0664	
MZ22527961	MZ22517227	0	0.1074	0.9872	0.7722	0.8894	-0.1172	
MZ22528530	MZ22509497	0	1.0000	0.9375	0.9444	0.9444	0.0000	
MZ22528007	MZ22521621	0	-0.5000	0.6875	0.5556	0.5556	0.0000	
MZ22528271	MZ22522120	0	0.0000	0.9908	0.8854	0.8865	-0.0010	
MZ22527942	MZ22510734	0	0.1236	0.3025	0.0826	0.2827	-0.2000	
MZ22529941	MZ22510919	0	-0.5000	1.0000	0.8333	0.8333	0.0000	
MZ22528029	MZ22514608	0	-0.3330	0.8235	0.6355	0.7018	-0.0663	
MZ22528483	MZ22512690	0	0.0000	0.7500	0.6667	0.6667	0.0000	
MZ22528988	MZ22523258	0	-0.5000	0.5014	0.3310	0.3901	-0.0591	
MZ22525205	MZ22507874	0	-0.6667	0.4655	0.1813	0.2768	-0.0955	
MZ22526239	MZ22523187	0	-1.0000	0.9474	0.7619	0.7619	-0.0000	
MZ22528264	MZ22521178	0	-0.2488	1.0000	0.7827	0.8612	-0.0786	
MZ22526141	MZ22502381	0	0.4209	0.9231	0.6351	0.7473	-0.1122	
MZ22530239	MZ22516371	0	1.0000	1.0000	1.0000	1.0000	0.0000	
MZ22529155	MZ22506531	0	0.5736	0.8201	0.6165	0.7927	-0.1763	
MZ22530724	MZ22518295	0	1.0000	0.8114	0.8240	0.8324	-0.0084	
MZ22529407	MZ22505271	0	0.0000	0.7780	0.6657	0.6915	-0.0259	
MZ22530788	MZ22508572	0	0.9136	0.4227	0.3511	0.4773	-0.1261	
MZ22528264	MZ22521442	0	-0.2488	1.0000	0.7827	0.8612	-0.0786	
MZ22530756	MZ22514984	0	0.0000	1.0000	0.8889	0.8889	0.0000	
MZ22529954	MZ22515207	0	0.3541	0.7015	0.5412	0.6684	-0.1272	
MZ22529082	MZ22509483	0	0.0000	0.8235	0.7368	0.7368	-0.0000	
MZ22525657	MZ22524797	0	-0.6667	1.0000	0.7222	0.7222	0.0000	
MZ22530767	MZ22513694	0	0.0000	1.0000	0.8889	0.8889	0.0000	
MZ22529191	MZ22516306	0	0.0000	1.0000	0.8889	0.8889	0.0000	
MZ22529702	MZ22513662	0	-1.0000	0.9412	0.7368	0.7368	-0.0000	
MZ22529890	MZ22523827	0	1.0000	0.7647	0.7895	0.7895	-0.0000	
MZ22527957	MZ22518604	0	-1.0000	0.8125	0.6111	0.6111	0.0000	
MZ22527792	MZ22525413	0	0.0000	0.7258	0.6034	0.6048	-0.0014	
MZ22527847	MZ22511760	0	1.0000	0.9611	0.9606	0.9676	-0.0070	
MZ22528104	MZ22509823	0	-1.0000	0.9935	0.7712	0.7720	-0.0008	
MZ22528468	MZ22512956	0	0.1047	1.0000	0.7851	0.9005	-0.1154	
MZ22528180	MZ22500528	0	0.0000	0.2202	0.1211	0.1992	-0.0781	
MZ22530661	MZ22503107	0	-0.1275	0.0890	-0.1290	0.0649	-0.1939	
MZ22529024	MZ22518131	0	-1.0000	0.9764	0.7540	0.7568	-0.0028	
MZ22528248	MZ22515277	0	1.0000	1.0000	1.0000	1.0000	0.0000	
MZ22529781	MZ22521442	0	-0.5000	1.0000	0.8333	0.8333	0.0000	
MZ22528530	MZ22517246	0	1.0000	0.8125	0.8333	0.8333	0.0000	
MZ22528803	MZ22524028	0	0.1354	1.0000	0.7854	0.9039	-0.1186	
MZ22528355	MZ22518604	0	0.0000	0.8125	0.7222	0.7222	0.0000	
MZ22527997	MZ22507648	0	-0.4005	0.8055	0.5861	0.6715	-0.0853	
MZ22528622	MZ22514608	0	0.5610	0.8235	0.6449	0.7959	-0.1510	
MZ22530964	MZ22502185	0	0.4485	0.3719	0.1658	0.3804	-0.2146	
MZ22528867	MZ22509483	0	1.0000	0.8235	0.8421	0.8421	-0.0000	
MZ22528948	MZ22504193	0	0.1986	0.3865	0.1689	0.3656	-0.1967	
MZ22531025	MZ22522236	0	0.0000	0.8750	0.7778	0.7778	0.0000	
MZ22529330	MZ22509327	0	0.0000	0.9576	0.8462	0.8512	-0.0050	
MZ22528923	MZ22516877	0	0.0000	-0.0126	-0.1144	-0.0112	-0.1033	
MZ22528135	MZ22516306	0	0.0000	1.0000	0.8889	0.8889	0.0000	
MZ22529473	MZ22510919	0	0.0000	1.0000	0.8889	0.8889	0.0000	
MZ22530352	MZ22520895	0	0.0049	0.9375	0.7288	0.8339	-0.1051	
MZ22529381	MZ22524902	0	0.0000	1.0000	0.8889	0.8889	0.0000	
MZ22528468	MZ22513628	0	0.1047	0.9403	0.7706	0.8677	-0.0971	
MZ22528039	MZ22507845	0	0.0000	0.8104	0.7191	0.7251	-0.0060	
MZ22528054	MZ22510773	0	0.9604	0.8237	0.7476	0.8389	-0.0914	
MZ22527010	MZ22526407	0	0.3015	1.0000	0.6948	0.8836	-0.1888	
MZ22530891	MZ22505571	0	0.0000	0.8750	0.7778	0.7778	0.0000	
MZ22530268	MZ22509192	0	0.0000	0.9532	0.8476	0.8529	-0.0052	
MZ22527339	MZ22519558	0	-1.0000	1.0000	0.7895	0.7895	0.0000	
MZ22527716	MZ22513498	0	1.0000	0.2532	0.3025	0.3362	-0.0337	
MZ22529538	MZ22516462	0	0.0000	0.8750	0.7778	0.7778	0.0000	
MZ22530284	MZ22511063	0	0.8739	0.9911	0.8206	0.9781	-0.1574	
MZ22530182	MZ22512802	0	0.8601	0.8880	0.7117	0.8849	-0.1732	
MZ22528628	MZ22513823	0	0.0952	0.0003	-0.1324	0.0068	-0.1392	
MZ22526887	MZ22502185	0	0.9761	0.3719	0.3294	0.4390	-0.1096	
MZ22531234	MZ22500579	0	0.0000	0.1210	0.0197	0.1083	-0.0885	
MZ22531201	MZ22515461	0	0.6667	0.9715	0.9186	0.9234	-0.0048	
MZ22529141	MZ22514582	0	-0.5000	1.0000	0.8333	0.8333	0.0000	
MZ22529954	MZ22504062	0	0.3541	0.9735	0.7612	0.9047	-0.1435	
MZ22529218	MZ22517712	0	0.3192	0.8958	0.6824	0.8317	-0.1493	
MZ22520624	MZ22504806	0	-0.6667	0.4023	0.2290	0.2629	-0.0339	
MZ22530085	MZ22505732	0	0.9163	0.1231	0.0072	0.1892	-0.1820	
MZ22528987	MZ22522966	0	-0.5000	0.5753	0.4184	0.4558	-0.0374	
MZ22527997	MZ22522372	0	-0.4005	0.9375	0.7261	0.7888	-0.0627	
MZ22513139	MZ22520904	0	0.8000	1.0000	0.9545	0.9545	0.0000	
MZ22528574	MZ22521240	0	0.0386	0.9366	0.7317	0.8421	-0.1103	
MZ22530369	MZ22516942	0	1.0000	0.9706	0.9704	0.9739	-0.0035	
MZ22530517	MZ22501909	0	-0.5000	0.1934	0.0597	0.1273	-0.0676	
MZ22530712	MZ22507845	0	-0.5000	0.8104	0.6665	0.6725	-0.0060	
MZ22529908	MZ22507334	0	0.0000	0.9586	0.8472	0.8521	-0.0049	
MZ22530631	MZ22518707	0	1.0000	0.8686	0.8825	0.8832	-0.0008	
MZ22528930	MZ22516371	0	1.0000	1.0000	1.0000	1.0000	0.0000	
MZ22528452	MZ22520302	0	0.0000	1.0000	0.8889	0.8889	0.0000	
MZ22521917	MZ22507996	0	0.6667	0.9542	0.8981	0.9063	-0.0082	
MZ22528320	MZ22501259	0	0.0000	0.6842	0.6190	0.6190	0.0000	
MZ22529701	MZ22503292	0	1.0000	1.0000	1.0000	1.0000	0.0000	
MZ22530528	MZ22510734	0	0.0147	0.3025	0.0818	0.2706	-0.1888	
MZ22528586	MZ22507807	0	1.0000	1.0000	1.0000	1.0000	0.0000	
MZ22527961	MZ22513024	0	0.1074	0.5376	0.3401	0.4923	-0.1522	
MZ22527457	MZ22514353	0	0.6667	1.0000	0.9444	0.9444	-0.0000	
